id,@context,@type,@id,name,image,description,sku,gtin13,brand.@type,brandname,url,offers.@type,offers.url,offers.priceCurrency,offers.price,offers.itemCondition,offers.availability,aggregateRating.@type,aggregateRating.ratingValue,aggregateRating.ratingCount,aggregateRating.reviewCount,dt_created,kategori
2381,https://schema.org/,Product,https://www.trendyol.com/argivit/multivitamin-150-ml-surup-p-31694421#baseproduct,"Argivit Multivitamin 150 Ml Åžurup","https://cdn.dsmcdn.com/ty1076/product/media/images/prod/SPM/PIM/20231202/15/4213bbb1-df8a-3372-bd2f-45fd1af48400/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1075/product/media/images/prod/SPM/PIM/20231202/15/3e4bada5-8ac8-3e20-8ff5-bf6e6a49b120/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1075/product/media/images/prod/SPM/PIM/20231202/15/1088fff0-c0d5-3f7f-a7c6-b357b92a972d/1_org_zoom.jpg",""Argivit Multivitamin 150 Ml Åžurup yorumlarÄ±nÄ± inceleyin, Trendyol'a Ã¶zel indirimli fiyata satÄ±n alÄ±n."",31694421,8682408684000,Brand,Argivit,https://www.trendyol.com/argivit/multivitamin-150-ml-surup-p-31694421,Offer,https://www.trendyol.com/argivit/multivitamin-150-ml-surup-p-31694421,TRY,222.52,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.7,6410,4071,"2023-12-12 16:02:26",vitamin-x-c105087
2382,https://schema.org/,Product,https://www.trendyol.com/anocin/melatonin-60-passiflora-vitaminb6-ve-limon-otu-melatoninn-tablet-p-451967505#baseproduct,"anocin Melatonin 60 Passiflora Vitaminb6 Ve Limon Otu Melatoninn Tablet","https://cdn.dsmcdn.com/ty1026/product/media/images/prod/SPM/PIM/20231101/13/917bdc17-d6f2-3359-92e4-797c4d0c2c12/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1027/product/media/images/prod/SPM/PIM/20231101/13/16034f6d-9cc3-3664-b82b-764cc0ce68a4/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1028/product/media/images/prod/SPM/PIM/20231101/13/421ba72c-f5c5-308d-ad94-4635c1bb6494/1_org_zoom.jpg', 'https:/",""anocin Melatonin 60 Passiflora Vitaminb6 Ve Limon Otu Melatoninn Tablet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",451967505,8680157583810,Brand,anocin,https://www.trendyol.com/anocin/melatonin-60-passiflora-vitaminb6-ve-limon-otu-melatoninn-tablet-p-451967505,Offer,https://www.trendyol.com/anocin/melatonin-60-passiflora-vitaminb6-ve-limon-otu-melatoninn-tablet-p-451967505,TRY,174,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.3,790,527,"2023-12-12 16:02:27",vitamin-x-c105087
2383,https://schema.org/,Product,https://www.trendyol.com/ocean/vitamin-d3-1000-iu-p-4344237#baseproduct,"Ocean Vitamin D3 1000 IU",https://cdn.dsmcdn.com/ty282/product/media/images/20211231/14/19642236/17161471/1/1_org_zoom.jpg,""Ocean Vitamin D3 1000 IU yorumlarÄ±nÄ± inceleyin, Trendyol'a Ã¶zel indirimli fiyata satÄ±n alÄ±n."",4344237,8697595871362,Brand,Ocean,https://www.trendyol.com/ocean/vitamin-d3-1000-iu-p-4344237,Offer,https://www.trendyol.com/ocean/vitamin-d3-1000-iu-p-4344237,TRY,100,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.7,4615,2579,"2023-12-12 16:02:30",vitamin-x-c105087
2384,https://schema.org/,Product,https://www.trendyol.com/vitafenix/magna-p-magnezyum-ve-vitamin-b6-iceren-40-sase-takviye-edici-vegan-gida-p-369706781#baseproduct,"Vitafenix Magna P Magnezyum Ve Vitamin B6 IÃ§eren 40 SaÅŸe Takviye Edici Vegan GÄ±da","https://cdn.dsmcdn.com/ty1003/product/media/images/prod/SPM/PIM/20230925/12/fd177132-157c-3533-8d34-7bc5a954b3dd/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1002/product/media/images/prod/SPM/PIM/20230925/12/bca413b5-cd89-3664-9f4b-4ae683bd9db9/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1002/product/media/images/prod/SPM/PIM/20230925/12/70ae1795-8229-3b82-a5ae-fbe6f3b17aa7/1_org_zoom.jpg', 'https:/",""Vitafenix Magna P Magnezyum Ve Vitamin B6 IÃ§eren 40 SaÅŸe Takviye Edici Vegan GÄ±da yorumlarÄ±nÄ± inceleyin, Trendyol'a Ã¶zel indirimli fiyata satÄ±n alÄ±n."",369706781,8683684703041,Brand,Vitafenix,https://www.trendyol.com/vitafenix/magna-p-magnezyum-ve-vitamin-b6-iceren-40-sase-takviye-edici-vegan-gida-p-369706781,Offer,https://www.trendyol.com/vitafenix/magna-p-magnezyum-ve-vitamin-b6-iceren-40-sase-takviye-edici-vegan-gida-p-369706781,TRY,363,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.6,961,634,"2023-12-12 16:02:31",vitamin-x-c105087
2385,https://schema.org/,Product,https://www.trendyol.com/lifecell/sleep-deep-dogal-melatonin-p-683430983#baseproduct,"Lifecell Sleep Deep - DoÄŸal Melatonin","https://cdn.dsmcdn.com/ty1003/product/media/images/prod/SPM/PIM/20230920/19/3f483224-e82d-3608-93f7-451a58b7aab3/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1003/product/media/images/prod/SPM/PIM/20230920/19/42f28e4a-3e35-3f93-8702-a2a3edd8b9c3/1_org_zoom.jpg",""Lifecell Sleep Deep - DoÄŸal Melatonin yorumlarÄ±nÄ± inceleyin, Trendyol'a Ã¶zel indirimli fiyata satÄ±n alÄ±n."",683430983,8682162753592,Brand,Lifecell,https://www.trendyol.com/lifecell/sleep-deep-dogal-melatonin-p-683430983,Offer,https://www.trendyol.com/lifecell/sleep-deep-dogal-melatonin-p-683430983,TRY,195,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.4,949,767,"2023-12-12 16:02:32",vitamin-x-c105087
2386,https://schema.org/,Product,https://www.trendyol.com/phytodef/biotin-5000-mcg-60-tablet-p-219656697#baseproduct,"Phytodef Biotin 5000 Mcg - 60 Tablet","https://cdn.dsmcdn.com/ty578/product/media/images/20221024/16/201554162/355831688/1/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty578/product/media/images/20221024/16/201554162/355831688/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty578/product/media/images/20221024/16/201554162/355831688/3/3_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty576/product/media/images/20221024/16/201554162/355831688/4/4_org_zoom",""Phytodef Biotin 5000 Mcg - 60 Tablet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",219656697,8698740189127-39,Brand,Phytodef,https://www.trendyol.com/phytodef/biotin-5000-mcg-60-tablet-p-219656697,Offer,https://www.trendyol.com/phytodef/biotin-5000-mcg-60-tablet-p-219656697,TRY,259,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.7,300,192,"2023-12-12 16:02:33",vitamin-x-c105087
2387,https://schema.org/,Product,https://www.trendyol.com/natures-supreme/multivitamin-for-men-60-kapsul-p-3060491#baseproduct,"Natures Supreme Multivitamin For Men 60 Kapsül","https://cdn.dsmcdn.com/ty286/product/media/images/20220104/16/21602796/14191950/1/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty285/product/media/images/20220104/16/21602796/14191950/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty287/product/media/images/20220104/16/21602796/14191950/3/3_org_zoom.jpg",""Natures Supreme Multivitamin For Men 60 Kapsül yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",3060491,8681763380060,Brand,"Natures Supreme",https://www.trendyol.com/natures-supreme/multivitamin-for-men-60-kapsul-p-3060491,Offer,https://www.trendyol.com/natures-supreme/multivitamin-for-men-60-kapsul-p-3060491,TRY,269,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.6,2548,1176,"2023-12-12 16:02:33",vitamin-x-c105087
2388,https://schema.org/,Product,https://www.trendyol.com/phytodef/demir-folik-asit-vitamin-b12-vitamin-c-30-tablet-d3-k2-c-60-tablet-p-274363616#baseproduct,"Phytodef Demir + Folik Asit + Vitamin B12 + Vitamin C - 30 Tablet & D3 + K2 + C - 60 Tablet","https://cdn.dsmcdn.com/ty580/product/media/images/20221025/18/202238738/437440977/1/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty577/product/media/images/20221024/13/201374642/437440977/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty576/product/media/images/20221024/13/201374642/437440977/3/3_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty576/product/media/images/20221024/14/201415862/437440977/1/1_org_zoom",""Phytodef Demir + Folik Asit + Vitamin B12 + Vitamin C - 30 Tablet & D3 + K2 + C - 60 Tablet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",274363616,8698740189608-71,Brand,Phytodef,https://www.trendyol.com/phytodef/demir-folik-asit-vitamin-b12-vitamin-c-30-tablet-d3-k2-c-60-tablet-p-274363616,Offer,https://www.trendyol.com/phytodef/demir-folik-asit-vitamin-b12-vitamin-c-30-tablet-d3-k2-c-60-tablet-p-274363616,TRY,495,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.4,66,39,"2023-12-12 16:02:34",vitamin-x-c105087
2389,https://schema.org/,Product,https://www.trendyol.com/venatura/magnezyum-bisglisinat-sitrat-p5p-b6-60-kapsul-p-118111391#baseproduct,"Venatura Magnezyum Bisglisinat+Sitrat+p5p+b6 60 Kapsül",https://cdn.dsmcdn.com/ty1026/product/media/images/prod/SPM/PIM/20231031/14/eb1ae57e-e591-3ef4-8367-264865270243/1_org_zoom.jpg,""Venatura Magnezyum Bisglisinat+Sitrat+p5p+b6 60 Kapsül yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",118111391,8683229900058,Brand,Venatura,https://www.trendyol.com/venatura/magnezyum-bisglisinat-sitrat-p5p-b6-60-kapsul-p-118111391,Offer,https://www.trendyol.com/venatura/magnezyum-bisglisinat-sitrat-p5p-b6-60-kapsul-p-118111391,TRY,179,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.7,7584,4433,"2023-12-12 16:02:34",vitamin-x-c105087
2390,https://schema.org/,Product,https://www.trendyol.com/phytodef/d3-k2-c-60-tablet-p-220121782#baseproduct,"Phytodef D3 + K2 + C - 60 Tablet","https://cdn.dsmcdn.com/ty577/product/media/images/20221024/16/201547560/356491756/1/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty578/product/media/images/20221024/16/201547560/356491756/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty577/product/media/images/20221024/16/201547560/356491756/3/3_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty576/product/media/images/20221024/16/201547560/356491756/4/4_org_zoom",""Phytodef D3 + K2 + C - 60 Tablet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",220121782,8698740189127-42,Brand,Phytodef,https://www.trendyol.com/phytodef/d3-k2-c-60-tablet-p-220121782,Offer,https://www.trendyol.com/phytodef/d3-k2-c-60-tablet-p-220121782,TRY,299,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.8,360,197,"2023-12-12 16:02:35",vitamin-x-c105087
